val,test
432.3517761230469,433.751708984375
425.6393737792969,427.2400817871094
411.306396484375,412.1060791015625
381.6712341308594,383.5669250488281
324.0153503417969,324.6679382324219
241.983154296875,238.53823852539062
155.79847717285156,152.30203247070312
111.6294174194336,104.5386734008789
87.18213653564453,85.99761962890625
80.26671600341797,77.16043853759766
65.51852416992188,68.3016586303711
64.91202545166016,63.572181701660156
65.7586898803711,57.2835578918457
53.83877944946289,53.749576568603516
49.570186614990234,52.93205261230469
